year,title,genres
1971,$,Comedy|Crime|Drama
1999,$30,Comedy|Short
2000,$pent,Drama
1980,'11',Adult|Drama
1988,'68,Drama
1973,'69' Sunset Strip,Adult|Comedy
1983,'A Bit' Too Much Too Soon,Adult
1952,'B' Girl Rhapsody,Drama
1968,'Bullitt': Steve McQueen's Commitment to Reality,Documentary|Short
1983,'Cat and Mouse' at the Home,Animation|Comedy|Short
1977,'Code Name': Oriental Treatment,Adult|Crime
1988,'Crocodile' Dundee II,Action|Adventure|Comedy
1971,'Daisy Lay': Ozark Virgin?,Adult
1971,'Doc',Western
1980,'F',Adult|Comedy|Sci-Fi
1951,'Fraidy Cat,Comedy|Crime|Short
1957,'From Mad to Worse',Animation|Comedy|Family|Short
1974,'Gator Bait,Action|Drama|Thriller
1955,'Giant' Stars Are Off to Texas,Documentary|Short
1979,'How Do I Love Thee? Let Me Count the Lays.....!',Adult
1992,'I Do...',Adult
1995,'Java Madness' formerly titled 'Coffee Madness',Comedy|Short
1970,'Long John' Hungright,Short
1996,'M' Word,Comedy|Drama|Romance
1962,'Neath Arizona Skies,Short|Western
1971,'Necromania': A Tale of Weird Love!,Adult|Horror
1972,'Oh!...... Miss Bodie',Adult
1986,'Round Midnight,Drama|Music
1971,'S.M.A.S.H-H. or How to Get Hung',Adult|Comedy
1951,'Sno Fun,Animation|Comedy|Short
1976,'Sweet Punkin' I Love You....,Adult|Comedy
1960,'Til Death Do Us Part,Drama|Short
1998,'Til Death Do Us Part,Short
1997,'Til There Was You,Comedy|Romance
1978,'V': The Hot One,Adult|Drama
1991,(Blooper) Bunny!,Animation|Comedy|Family|Short
2000,(I'm Living) A Charmed Life,Comedy
1976,(Now) or Maintenant Entre Parenthèses,Short
1998,*69,Short
1987,*batteries not included,Comedy|Family|Fantasy|Sci-Fi
1959,-30-,Drama
1984,... De toda la vida,Documentary
1981,...All the Marbles,Comedy|Drama|Sport
1999,...And Call Me in the Morning,Comedy
1979,...and justice for all.,Crime|Drama|Thriller
1995,...And the Earth Did Not Swallow Him,Drama
1972,...and Then It Happened,Short
1999,...But I Was a Girl: The Story of Frieda Belinfante,Biography|Documentary|Music
1983,...I Never Say No!,Adult
1985,...In the Name of Leather,Adult
2000,...Lost.,Drama|Short
1973,...No Lies,Drama|Short
1974,...Promises to Keep,Documentary|Short
1988,...They Haven't Seen This...,Short
1970,...tick... tick... tick...,Action|Drama
1999,...To Be with Me,Drama|Short
1977,.357 Magnum,Action|Drama
2000,0!1 (Zero Bang One),Sci-Fi|Short
1998,1 Is for Gun,Mystery|Short
1971,1 P.M.,Documentary
1996,1-900,Comedy|Drama|Thriller
1979,10,Comedy|Romance
1986,10 1/2 Weeks,Adult
1999,10 Beers in 10 Minutes,Documentary|Short
1952,10 Days in a Nudist Camp,Documentary
1998,10 Seconds,Short|Thriller
1999,10 Things I Hate About You,Comedy|Drama|Romance
1983,10 to Midnight,Crime|Drama|Thriller
1998,100 años de perdón,Comedy
2000,100 Girls,Comedy|Romance
1997,100 Proof,Drama
1969,100 Rifles,Adventure|Romance|War|Western
2000,100% Cotton,Comedy|Short
1998,1000 Miles from Nowhere,Drama
1959,1001 Arabian Nights,Animation|Fantasy
1971,101 Acts of Love,Adult
1996,101 Dalmatians,Adventure|Comedy|Crime|Family
2000,101 Rent Boys,Documentary
1994,101 Sex Positions,Adult
2000,101 Ways (The Things a Girl Will Do to Keep Her Volvo),Comedy
2000,102 Dalmatians,Adventure|Comedy|Family
1966,10:30 P.M. Summer,Drama
1970,10:30 PM Monday,Adult
1974,11 Harrowhouse,Comedy|Crime|Thriller
1998,11 in Life,Comedy|Short
1977,11 x 14,Drama
2000,11:11,Animation|Short
1957,12 Angry Men,Crime|Drama
1999,12 Angry Men: Teams That Don't Quit,Documentary|Short
1977,12 at Noon,Adult
1998,12 Bucks,Drama
2000,12 O'clock,Action
2000,12 Rounds,Drama|Short
1999,12 Stops on the Road to Nowhere,Comedy|Short
1960,12 to the Moon,Sci-Fi
1990,12:01 PM,Sci-Fi|Short
2000,12th and Ripley,Short
2000,12x12,Drama|Short
1960,13 Fighting Men,Drama|War|Western
1963,13 Frightened Girls,Adventure|Comedy|Thriller
1960,13 Ghosts,Horror
1962,13 West Street,Crime|Drama
1981,14 Americans: Directions of the 1970s,Documentary
1952,14 Carrot Rabbit,Animation|Comedy|Family|Short
1999,14 Ways to Wear Lipstick,Crime|Drama|Thriller
1999,15 Minutes,Comedy|Short
1965,15 Song Traits,Documentary|Short
1971,1501 1/2,Short
1986,16 Days of Glory,Documentary|Sport
1998,17 and Under,Drama
1972,17 Days Down the Line,Documentary|Family|Short
1998,17 Seconds to Sophie,Documentary|Short
1972,1776,Drama|Family|History|Musical
1988,18 Again!,Comedy|Fantasy|Romance
1999,18 Shades of Dust,Crime|Drama
1996,1825 North Kingsley,Short
2000,186 Days,Drama|Short
1996,187 Reasonz Y,Crime|Short
1997,187: Documented,Documentary|Drama
1985,1918,Drama
1979,1941,Action|Comedy|War
1955,1955 Motion Picture Theatre Celebration,Documentary|Short
1961,1964 New York World's Fair Report,Documentary|Short
1967,1967 Busch Advertisement,Animation|Short
1968,1968 Coast Guard Beach,Short
1993,1968: The 25th Anniversary,Documentary
1988,1969,Drama|War
1987,1980 Seven,Comedy|Short
1956,1984,Drama|Sci-Fi
1992,1991: The Year Punk Broke,Documentary|History|Music
1998,1999,Comedy|Drama
1967,1999 A.D.,Sci-Fi|Short
2000,2 1/2 Minutes of Pleasure,Drama|Short
1979,2 Catch 2,Adventure
1996,2 Days in the Valley,Comedy|Crime|Thriller
1998,2 Live Crew Feat. Ice-T: The Real One,Music|Short
1998,2 Live Crew Feat. KC of KC & the Sunshine Band and Freak Nasty: 2 Live Party,Music|Short
1990,2 Live Crew: C'mon Babe,Music|Short
1996,2 Live Crew: Do the Damn Thing,Music|Short
1988,2 Live Crew: Do Wah Diddy Diddy,Comedy|Short
1995,2 Live Crew: Hoochie Mama,Music|Short
1989,2 Live Crew: Me So Horny,Comedy|Short
1991,2 Live Crew: Pop the Pussy,Music|Short
1996,2 Live Crew: Shake a Lil Somethin',Music|Short
1992,2 Live Crew: The 2 Live Crew Mega Mix,Music|Short
1988,2 Live Crew: Yakety Yak,Music|Short
1993,2 Nazty: Can't Say I Love You,Music|Short
2000,2 on U,Adventure|Drama|Short
1997,2 or 3 Things But Nothing for Sure,Biography|Documentary|Short
1998,20 Dates,Biography|Comedy|Romance
1957,20 Million Miles to Earth,Fantasy|Horror|Sci-Fi
